4.16,-4.84,-7.19,0.06,-0.02,-0.02,27.87,340,311,297,335,356
2.38,-2.49,-9.22,0.06,-0.05,-0.03,28.00,340,310,297,335,356
2.46,-2.35,-9.19,0.07,-0.01,-0.08,28.00,340,311,297,335,356
3.38,-2.75,-9.56,0.14,0.01,-0.04,28.00,340,311,297,335,356
2.40,-2.20,-9.33,-0.00,-0.18,-0.01,27.87,340,311,297,335,356
2.86,-3.06,-8.95,0.15,-0.00,-0.06,28.00,340,311,297,335,356
2.71,-3.06,-9.15,0.02,-0.08,-0.06,27.87,340,311,297,335,356
3.09,-2.94,-9.12,0.09,-0.02,-0.10,27.87,340,311,297,335,355
2.05,-2.52,-9.66,-0.02,-0.13,-0.00,28.00,340,311,297,335,355
2.87,-3.04,-9.04,0.05,-0.03,-0.06,28.00,340,311,296,335,355
1.86,-2.62,-9.29,0.09,-0.05,0.01,28.00,340,311,297,335,355
2.92,-2.89,-9.42,0.23,0.13,-0.01,27.75,340,311,297,334,355
1.94,-2.72,-9.52,0.04,-0.06,0.04,27.87,340,311,297,335,355
2.51,-3.34,-9.32,0.17,0.05,0.02,27.87,340,311,297,335,355
1.65,-3.02,-9.26,0.01,-0.03,0.03,27.87,340,311,297,335,355
2.56,-3.73,-8.60,0.18,0.21,-0.03,28.00,340,311,297,335,354
2.10,-3.01,-9.59,-0.06,0.10,0.08,27.87,340,311,297,335,354
2.07,-3.11,-8.64,0.07,0.17,0.07,27.87,340,311,297,335,354
2.43,-3.42,-8.18,0.18,0.27,0.06,27.87,340,310,297,335,354
4.19,-4.38,-7.96,0.33,0.41,-0.02,28.00,340,311,297,335,354
3.68,-3.68,-8.70,-0.03,0.11,-0.02,28.00,340,311,297,335,355
2.85,-3.56,-8.03,0.00,0.16,-0.12,27.87,340,311,297,335,355
3.69,-3.52,-8.04,0.11,0.19,0.10,27.87,340,311,297,335,356
4.52,-4.36,-7.49,0.13,0.22,0.01,27.87,340,311,297,335,356
3.95,-3.32,-7.54,0.23,0.42,-0.10,27.87,340,311,297,335,355
5.74,-4.72,-6.55,0.39,0.39,-0.00,28.00,340,311,296,335,354
5.53,-5.00,-6.49,0.31,0.31,-0.03,28.00,340,311,296,335,354
5.60,-5.17,-6.62,0.17,0.16,-0.02,28.00,340,311,296,335,354
5.50,-5.24,-6.83,0.18,0.07,0.04,28.00,340,311,296,334,354
5.14,-5.52,-6.47,0.16,0.06,0.04,28.00,340,311,296,335,354
5.42,-5.56,-6.12,0.11,0.13,-0.02,28.00,340,311,296,335,354
5.79,-5.34,-6.20,0.03,0.07,-0.03,28.00,340,310,296,335,354
6.04,-5.53,-6.04,0.03,0.04,-0.10,28.00,340,310,296,335,354
5.45,-5.36,-6.14,0.04,-0.06,-0.02,27.87,340,311,296,335,354
END
4.89,-5.33,-6.34,0.04,-0.04,-0.02,27.87,341,310,297,335,356
3.49,-2.77,-9.02,0.06,-0.01,-0.09,28.00,341,311,297,335,356
3.12,-2.56,-9.22,0.05,-0.03,-0.06,28.00,340,310,297,335,355
2.97,-2.58,-8.93,0.06,-0.02,-0.06,28.00,341,311,297,335,355
2.78,-2.40,-9.28,0.07,-0.03,-0.07,27.87,341,310,297,335,355
2.81,-2.60,-9.19,0.11,0.02,-0.03,28.00,341,310,297,335,355
3.04,-2.74,-9.24,0.05,-0.02,-0.06,28.00,340,311,296,335,355
3.59,-2.87,-9.49,0.08,-0.01,-0.03,27.87,340,311,297,334,354
2.61,-2.58,-9.25,0.01,-0.11,-0.03,28.00,341,311,297,335,354
3.44,-3.00,-8.96,0.16,0.01,-0.07,27.87,341,311,297,335,354
3.04,-2.66,-9.53,0.20,0.10,0.01,28.00,341,311,297,335,353
2.82,-2.74,-8.32,0.25,0.13,-0.19,27.87,341,311,297,335,353
3.09,-2.96,-8.85,0.29,0.14,0.08,27.87,341,311,297,335,352
3.60,-3.59,-8.99,0.07,0.03,-0.04,27.87,340,311,297,335,352
3.36,-3.78,-8.19,0.34,0.18,0.01,27.87,340,310,297,335,352
3.63,-4.10,-8.64,0.20,0.16,-0.00,27.87,340,311,297,335,352
2.63,-3.61,-8.64,-0.03,0.00,0.01,27.87,340,310,297,334,352
3.56,-4.18,-8.13,0.35,0.28,0.05,28.00,340,311,297,335,352
4.52,-4.10,-8.23,0.10,0.14,-0.05,28.00,340,311,297,335,352
3.66,-3.78,-8.46,-0.00,0.02,0.03,28.00,340,311,297,335,352
4.81,-4.51,-8.14,0.04,0.09,0.02,27.87,340,311,297,335,352
4.13,-4.12,-8.03,-0.02,-0.02,-0.07,27.87,340,311,297,335,352
3.83,-3.71,-8.43,0.00,0.05,-0.03,27.87,340,311,297,335,352
4.55,-4.39,-7.87,-0.02,0.00,0.00,27.87,340,310,297,335,352
5.11,-4.90,-7.72,-0.04,0.11,-0.12,27.87,340,311,297,335,352
3.55,-3.60,-7.45,-0.06,0.00,0.00,27.87,340,309,297,334,353
4.19,-4.29,-6.94,0.21,0.25,0.03,27.87,340,311,297,335,353
3.91,-4.36,-7.48,-0.06,-0.01,0.06,28.00,340,311,297,334,354
4.80,-4.70,-7.25,0.00,0.16,-0.00,28.00,340,311,297,335,355
5.48,-4.96,-7.26,-0.30,-0.11,0.10,27.87,340,311,297,335,355
5.00,-4.81,-7.29,0.02,0.08,0.03,27.87,340,311,296,335,357
5.50,-4.78,-7.36,0.13,0.17,0.05,27.87,340,311,296,335,357
5.13,-4.54,-6.94,0.01,0.08,-0.03,27.87,341,311,296,335,357
5.00,-4.24,-7.28,0.02,0.06,-0.03,27.87,340,311,297,335,356
END
4.69,-3.91,-7.45,0.01,-0.03,-0.04,28.00,340,310,297,335,357
2.76,-2.29,-9.15,0.05,-0.04,-0.10,27.87,340,311,297,335,357
2.57,-2.01,-9.21,0.06,-0.01,-0.13,27.87,340,310,297,335,356
2.69,-2.25,-9.28,0.07,-0.01,-0.15,27.75,340,311,297,335,356
2.79,-2.44,-9.81,0.02,-0.06,-0.12,27.87,340,311,297,335,356
2.46,-2.67,-9.88,0.02,-0.09,-0.09,27.87,340,311,297,335,356
2.77,-2.48,-9.88,0.07,-0.09,-0.06,27.87,340,311,297,335,356
2.29,-2.30,-9.62,0.07,-0.10,0.01,27.87,340,311,297,335,356
2.40,-2.57,-8.92,0.12,-0.02,-0.03,27.87,340,311,297,335,355
2.76,-2.58,-8.93,0.13,0.07,0.00,27.87,340,311,297,335,355
3.04,-2.73,-9.39,-0.03,-0.07,-0.08,27.87,340,311,297,335,355
2.23,-3.09,-9.22,0.15,-0.01,0.04,27.87,340,311,297,335,355
1.88,-2.73,-9.34,0.07,0.02,-0.03,27.87,340,311,297,335,355
2.66,-2.79,-8.90,0.09,0.04,-0.01,27.87,341,311,297,335,355
2.71,-3.08,-8.92,0.10,0.06,0.01,27.75,341,311,297,335,355
2.71,-3.22,-9.40,-0.02,0.06,0.03,28.00,341,311,297,335,355
2.07,-2.81,-8.85,-0.00,0.07,0.01,27.75,341,311,297,335,355
2.75,-3.50,-8.50,0.20,0.22,0.04,27.87,341,311,297,335,356
2.12,-3.15,-8.64,-0.08,0.03,-0.06,27.87,340,311,297,335,357
3.63,-3.32,-9.15,-0.06,0.07,0.07,27.75,340,311,297,335,357
4.01,-3.22,-9.02,-0.06,0.10,0.01,27.87,340,311,297,334,357
3.54,-2.91,-8.72,-0.03,0.15,-0.08,27.87,340,310,297,335,359
4.74,-3.38,-8.64,-0.14,0.09,-0.10,27.87,340,311,296,335,359
3.01,-3.01,-8.76,-0.09,0.06,0.05,27.87,341,311,297,335,359
2.62,-2.47,-8.60,-0.06,0.01,0.06,27.87,341,311,297,334,361
3.22,-2.73,-7.82,0.15,0.17,0.03,27.75,341,311,297,335,362
4.66,-3.06,-9.50,-0.21,-0.35,0.15,27.87,342,311,297,335,365
4.36,-3.45,-8.95,0.17,0.01,0.10,27.75,343,311,297,335,366
3.47,-3.55,-9.02,0.07,0.08,0.05,28.00,343,311,297,335,365
3.68,-3.21,-9.15,-0.02,0.15,-0.00,27.87,343,312,297,335,365
3.44,-3.15,-8.57,0.01,0.07,-0.01,28.00,343,312,297,335,364
3.75,-3.19,-8.76,0.07,0.05,-0.02,28.00,343,312,296,335,363
3.51,-3.11,-8.59,0.07,0.07,-0.03,28.00,343,312,297,335,363
END
3.76,-3.07,-8.48,0.09,0.09,-0.03,28.00,342,312,297,335,358
1.79,-1.51,-9.81,0.06,-0.03,-0.12,27.87,341,312,297,335,358
1.61,-1.52,-9.76,0.10,-0.00,-0.11,27.87,341,312,297,335,358
1.98,-1.78,-9.83,0.15,0.02,-0.15,27.87,342,312,297,335,358
1.58,-1.68,-9.87,0.15,-0.06,-0.06,27.87,341,312,297,335,358
0.94,-1.65,-9.45,0.10,-0.05,-0.10,27.87,341,312,297,335,357
1.92,-2.20,-9.45,0.23,0.13,-0.06,28.00,341,312,297,335,357
2.30,-2.28,-9.93,0.10,-0.02,0.03,28.00,341,311,297,335,356
1.58,-2.10,-9.59,0.06,-0.01,-0.02,27.75,341,312,297,335,356
2.41,-2.65,-9.43,0.13,0.09,-0.04,28.00,341,312,297,335,356
1.55,-2.20,-9.62,0.09,-0.02,0.05,28.00,341,312,297,335,356
1.92,-2.50,-8.91,0.09,0.02,-0.05,28.00,342,312,297,335,356
