6.48,2.07,-7.29,0.06,0.04,-0.05,27.75,480,408,304,340,371
6.30,2.01,-7.42,0.02,-0.00,-0.03,27.62,480,408,304,339,372
6.28,2.11,-7.42,0.02,0.00,-0.03,27.75,480,408,304,339,372
6.54,2.28,-7.74,0.04,-0.00,-0.04,27.62,480,408,304,339,372
6.24,2.06,-7.28,0.03,-0.00,-0.03,27.62,480,408,304,339,372
6.43,1.99,-7.41,0.03,0.01,-0.04,27.62,480,408,304,339,371
6.60,1.96,-7.57,0.02,0.00,-0.04,27.50,480,408,304,339,371
6.42,2.12,-7.44,0.03,-0.01,-0.03,27.50,480,408,304,339,371
6.37,2.02,-7.44,0.04,0.00,-0.03,27.75,480,408,304,339,372
6.27,2.06,-7.29,0.04,0.00,-0.04,27.75,480,408,304,339,371
6.56,2.07,-7.44,0.03,0.00,-0.03,27.75,480,408,304,340,372
6.37,2.08,-7.42,0.03,-0.01,-0.04,27.50,480,408,304,339,372
6.33,2.15,-7.57,0.04,0.00,-0.03,27.62,480,408,304,339,371
6.37,2.00,-7.30,0.04,0.00,-0.03,27.62,480,408,304,339,372
6.53,2.10,-7.40,0.02,-0.00,-0.04,27.62,480,408,304,339,371
6.30,2.05,-7.28,0.02,-0.00,-0.03,27.50,480,408,304,339,372
6.19,1.97,-7.26,0.04,0.00,-0.03,27.62,480,408,304,340,371
6.42,2.15,-7.32,0.03,0.01,-0.03,27.62,480,408,304,339,371
6.57,2.10,-7.44,0.04,0.00,-0.04,27.62,480,408,304,339,372
6.35,1.97,-7.21,0.04,-0.00,-0.04,27.62,480,408,304,339,371
6.36,2.16,-7.40,0.04,0.01,-0.03,27.75,480,408,304,339,371
6.50,2.06,-7.64,0.04,0.00,-0.03,27.50,480,408,304,339,372
6.44,2.06,-7.42,0.02,0.00,-0.03,27.50,480,408,304,339,371
6.40,2.10,-7.45,0.02,-0.00,-0.03,27.50,480,408,304,339,371
6.44,2.10,-7.42,0.04,-0.00,-0.04,27.62,480,408,304,339,372
6.45,2.01,-7.31,0.03,-0.00,-0.03,27.50,480,408,304,339,371
6.44,2.10,-7.43,0.03,-0.00,-0.03,27.62,480,408,304,339,371
6.45,2.10,-7.33,0.04,0.00,-0.03,27.50,480,408,304,339,371
6.34,1.97,-7.26,0.04,-0.00,-0.04,27.75,480,408,304,339,371
6.53,2.01,-7.36,0.02,0.00,-0.03,27.62,480,408,304,339,372
6.41,2.12,-7.29,0.05,0.01,-0.04,27.62,480,408,303,339,371
6.40,1.90,-7.42,0.04,0.01,-0.04,27.62,480,408,304,339,371
6.35,2.02,-7.29,0.04,0.02,-0.04,27.62,480,408,304,339,371
